id,editable,main_img_name,main_img,main_img_content_type,status,lat,long,address,detail_address,extra_address,bd_nm,si_nm,sgg_nm,emd_nm,room,start_year,end_year,floor,loan_1,pet,is_recommend,hourly_seasonal_txt,short_comment,long_comment,user_id,original_id,created_at,updated_at,third_party_imp,imp_status,deposit,monthly,contract_type,management_fee,management_type,parking,area_pyeong,area_square,structure,usage,floor_detail,start_date,end_date,elevator,balcony,is_rental_house,instt_nm,compet_de,hshld_co,suply_ty_nm,style_nm,suply_prvuse_ar,suply_cmnuse_ar,house_ty_nm,heat_mthd_detail_nm,buld_stle_nm,elvtr_instl_at_nm,parkng_co,bass_rent_gtn,bass_mt_rntchrg,bass_cnvrs_gtn_lmt,contract_date
14,t,NULL,NULL,NULL,임시저장,35.329821,129.004361,"경상남도 양산시 물금읍 동중2길 6-27",에버리치오피스텔,NULL,NULL,경상남도,양산시,범어리,원룸,2019,2019,지상층,f,NULL,t,NULL,NULL,NULL,35,NULL,"2019-12-31 02:10:39","2020-01-15 02:58:07",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,t,o6r3vhs8x0parvtm8z43,...,image/jpeg,등록완료,36.353958,127.364855,"대전광역시 서구 계룡로 320","궁전빌라 2층",(갈마동),NULL,대전광역시,서구,갈마동,원룸,2018,2019,지상층,f,NULL,t,"빌라가 큰 대로변에 위치하고 있기 때문에 새벽과 늦은 밤 차량의 소음들이 들리는 편입니다.
예민하신 분은 이러한 부분 고려하셔야 합니다.","임대인이 좋은 분이라서 대전에 계속 있는다면 살고 싶은 집입니다.","근처 마트와 편의점 2~3분 거리에 있고, 트레이더스 10분 거리에 있습니다.
지하철 11분(횡단보도 3개), 버스정류장 5분(둔산동, 탄방동 방향) 거리에 있습니다. 
기차역은 40분, 유성터미널 20분, CGV 15분이면 갈 수 있는 거리입니다.
도룡동 출근 시간 빠르면 25분 퇴근 시간 보통 45분 정도 소요됩니다. (버스이용시)
둔산동 타임월드는 걸어서 30분 정도 걸리는 것 같습니다.

임대인께 얘기를 잘 하신다면 1년 후 구두로 몇개월 정도는 연장하실 수 있을 겁니다.
그만큼 계약 기간에 얽매이는 인연을 맺는 분은 아닙니다.
",36,NULL,"2019-12-31 07:24:22","2020-01-02 22:34:41",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,t,NULL,NULL,NULL,임시저장,36.079773,129.394974,"경상북도 포항시 북구 장량로128번길 23-9",," (장성동)",,경상북도,"포항시 북구",장성동,원룸,2014,2019,지상층,f,,t,"아침에 방으로 빛이 굉장히 많이 들어온다.
겨울에 춥다.",,,37,NULL,"2019-12-31 07:26:27","2019-12-31 07:26:27",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,t,zq7h7vvjszpt59iixq8l,...,image/jpeg,등록완료,36.330094,127.422247,"대전광역시 중구 중앙로121번길 56",202호," (선화동)",,대전광역시,중구,선화동,원룸,2017,2019,지상층,f,,t,"베란다 창문이 커서 햇볕 잘들어오고 좋긴하지만
바로 앞이 나무은행이라
여름에 매미소리로 너무 시끄럽습니다.","혼자 살기에는 적당한 집입니다. 보증금도 월세도 높은편은 아니라서 막 사회에 접한 직장인들에게는 좋습니다.","주변 환경은 매우 좋습니다.
은행동, 대흥동, 백화점, 지하철까지 주변에 있으며
영화관도 코 앞이라 문화생활 즐기기에는 아주 좋은 위치입니다.",43,NULL,"2020-01-02 08:08:30","2020-01-02 08:09:25",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,t,NULL,NULL,NULL,임시저장,37.629520,127.022498,"서울특별시 강북구 도봉로65길 38",낙원파라다이스," (미아동)",낙원,서울특별시,강북구,미아동,원룸,2019,2019,지상층,f,,t,,,,46,NULL,"2020-01-03 03:58:02","2020-01-03 03:58:02",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,t,NULL,NULL,NULL,임시저장,37.662423,126.888909,"경기도 고양시 덕양구 신원로1길 24",202호," (신원동)",,경기도,"고양시 덕양구",신원동,투/쓰리룸,2014,2017,지상층,f,강아지,t,,,,29,NULL,"2020-01-03 17:03:28","2020-01-03 17:03:28",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,t,NULL,NULL,NULL,등록완료,37.494991,126.953219,"서울특별시 동작구 상도로54길 61",202호,NULL,NULL,서울특별시,동작구,상도동,원룸,2019,2019,지상층,f,NULL,t,"오르막길 있어서 눈 오면 힘들 거 같아요
겨울에 보일러 안틀어도 많이 안추워요","가격 대비 만족",NULL,55,NULL,"2020-01-04 20:32:52","2020-01-15 02:56:34",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,t,NULL,,NULL,등록완료,35.534731,129.294893,"울산광역시 남구 문수로 377","101동 1406호"," (옥동)",대공원센트럴하임더시티,울산광역시,남구,옥동,오피스텔,2019,2019,지상층,f,NULL,t,"이 집에서 살면서 가장 큰 변수는 '통유리'인것 같아요. 겨울~봄까지는 낮이면 선선~따뜻했다면 밤에는 살짝 춥고이래서 보일러가 필수였고, 봄~여름은 낮이면 채광이 너무 좋아서 너무 더워요. 그래서 무조건 선풍기, 에어컨 필수입니다. 그래도 밤되면 문열고 자면 선선한 정도라 낮에 전기관리 잘하셔야 될 것같아요. 그래서 겨울과 여름의 관리비 차이가 약간 있습니다.","항상 행복한 일만 있던건 아니지만 결국엔 좋았던 기억만 가득했던 집이에요:)","저는 1년 계약을 하면서도 중간에 집을 뺄 수도 있는 상황에 있었기 때문에 계약전에 미리 중계인과 임대인께 말씀드렸더니 중간에 집뺄때에도 편의를 봐주셨던거 같아요. 만약 저와 같은 상황에 있으신 분이라면 계약전에 말해 놓는게 좋을꺼같습니다. 좋은 집 구하 실 수 있길 바라요:) ",60,NULL,"2020-01-06 06:39:29","2020-01-06 08:11:01",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,t,NULL,NULL,NULL,등록완료,37.645671,126.789276,"경기도 고양시 일산동구 백석로86번길 60-10",204호," (백석동)",,경기도,"고양시 일산동구",백석동,투/쓰리룸,2016,2019,지상층,f,,t,"역이랑 가깝고, 버스정류장도 가깝고, 시외버스터미널도 가깝고 여러모로 좋아요. 먹자골목이랑 한블럭 정도 차이있는데 시끄럽지않아요 오히려 되게 조용하고 고요해요. 아기랑 여기저기 다니기도 좋고 대부분 도보안에 들어와서 좋아요. 투룸이라고 하지만 방하는 좀 작고 방하나가 거실만해요. 구조가 좀 별로긴한데. 잘꾸며서 사지면 괜찮을 것같고 그덕에 방하나에서 세가족이 옹기종기 살고있어요. ","주변분들이 좋으셔서 아기가 시끄럽게 울고, 뛰고 해도 아무도 뭐라고 안해주셨어요. 그게 젤 크게 감사드리고, 역세권이라 뚜벅이분들이 살기 좋아요. 참고로 저 뚜벅이.","제가 여기 결혼하면서 살기시작해서 4년 살았는데요. 크게 불편한거 없었어요. 새롭게 시작하는 신혼부부나 직장인분들 조용하게 잘 지내실수 있을 것같아요! 누가살게되었든 행복하세요. (아 참고로, 처음엔 하*은행에서 전세자금대출 받았었는데 그 다음번엔 안된다고 했어요. 은행마다 다를수도 있는데 무슨 건물평가하는기준이 다르다고 하더라구요. 그래서 신용대출로 오른전세금 냈었습니다.)",65,NULL,"2020-01-07 07:36:50","2020-01-07 07:36:50",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,t,NULL,NULL,NULL,등록완료,37.648915,126.791211,"경기도 고양시 일산동구 강송로74번길 53-12",203호," (백석동)",,경기도,"고양시 일산동구",백석동,원룸,2015,2016,지상층,f,,t,"해가 잘 안들어요. 야간일하던 언니가 좋아했어요 낮에도 푹자서.... 
집 구조는 길게 네모낳고 걸리는게 없어서 괜찮았고, 원룸치고는 베란다도 널찍했어요. 제가 입주당시 가스렌지 냉장고 세탁기 해달라고 요구했고, 그거 해주셔서 전 편하게 살았어요(그래서 시세보다 월세 더 받으신듯요) 작은 창고같은 방 하나있어서 잡동사니 넣어놓고 계절별로 온 갈아서 넣고 했었어요. ","야간직업 하시면 괜찮을듯요 ","해는 잘 안들었지만 곰팡이는 없었어요(신기하죠) 베란다가 넓어 좋았고 구조도 네모널찍해서 괜찮았아요. 퇴근하고 돌아오면 아늑한 편이었고, 혼자살기 시작할때 살던거라 좋았어요 동네가 조용한 편이고 제가 살때는열쇠키였는데 지금은 모르겠네요. ",65,NULL,"2020-01-07 07:43:21","2020-01-07 07:43:21",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,t,NULL,NULL,NULL,등록완료,37.640402,126.785557,"경기도 고양시 일산동구 일산로 16",511," (백석동)",디아뜨크리스탈오피스텔,경기도,"고양시 일산동구",백석동,원룸,2014,2015,지상층,f,,t,"오피스텔이라 경비아저씨들 넘 친절하시고 좋았어요. ","오피스텔이라 보안괜찮고 경비아저씨들 넘 친절하셨었어요.","오피스텔인데 오래되서 시설이 안좋아요. 대부분 빌트인이다 보니 냉장고 세탁기도 다 오래됐구요. 감안하셔야 하고, 경비아저씨분들 친절하시고 치안은 좋아요 주차도 괜찮구요!",65,NULL,"2020-01-07 07:48:54","2020-01-07 07:48:54",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,t,,,,등록완료,37.549914,126.951103,"서울특별시 마포구 마포대로11길 50",405동1401호," (공덕동, 래미안공덕4차아파트)",래미안공덕4차아파트,서울특별시,마포구,공덕동,아파트,2014,2017,지상층,f,,t,"햇볕이 잘 들어옵니다 :)","광화문이나 여의도로 출근하기 편한 집",,68,NULL,"2020-01-08 19:23:45","2020-01-09 10:04:16",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,t,qp5rnke6lm9zyynjkcyp,...,image/jpeg,임시저장,37.583379,126.880881,"서울특별시 마포구 월드컵북로 481",오벨리스크2차," (상암동)","상암 오벨리스크 2차",서울특별시,마포구,상암동,오피스텔,2019,2019,지상층,t,,t,"한 겨울에는 실내온도 27도는 맞춰야 따듯하게 지낼 수 있습니다.  방이 크지 않다보니 한 여름에 에어컨을 키면 금방 시원해져 전기세가 부담되지 않았습니다.","상암, DMC 근처에서 근무한다면 강력하게 추천합니다. 안전하고 깔끔한 오피스텔이라 보자마자 계약했습니다.","중소기업청년 전세자금 대출이 가능한 오피스텔 입니다.
도로쪽 방향이 아닌 반대 방향 집을 추천드립니다.
주변에 가볍게 산책할 수 있는 공원이 있습니다.
오피스텔 건너편에 GS슈퍼와 홈플러스 익스프레스가 있습니다.
오피스텔 지하에 헬스장, 코인세탁방, 작은 북카페가 있습니다.",69,NULL,"2020-01-09 07:25:16","2020-01-09 07:45:02",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,t,,,,등록완료,37.549914,126.951103,"서울특별시 마포구 마포대로11길 50",412동302호," (공덕동, 래미안공덕4차아파트)",래미안공덕4차아파트,서울특별시,마포구,공덕동,아파트,2017,2019,지상층,f,,t,"집일분거리에 공원과 어린이도서관이 있습니다 :)","귀여운 동네 고양이가 많은 집 :)",,68,NULL,"2020-01-09 10:19:11","2020-01-10 14:11:42",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,t,NULL,NULL,NULL,임시저장,36.673993,126.853308,"충청남도 예산군 예산읍 대학로6번길 20",대성빌라,,대성빌라,충청남도,예산군,대회리,원룸,2017,2019,지상층,f,,f,"가을에 베란다로 방충망 있어도 거미가 많이 들어와요. 날 좋은 가을날 창문열어두고 외출했다가는 거미가 집안에서 집만들고 있을테니 조심하세요! 가을에 바람이 선선하고 햇빛이 좋아도 창문열고 빨래 말리지 마세요. 빨래 다 해놨는데 거미가 앉아있어요..
겨울에 보일러 조심하세요. 제가 살았던 방 말고도 다른 방에서도 보일러 동파가 잘 났다고 하네요. 집주인에게 말해도 귀뚜라미 보일러 아저씨 불러서 고치라고 할겁니다. 본인이 전면부담 하시지 말고, 영수증 잘 가지고 있다가 집주인에게 꼭 수리비 돌려 받으세요. 대성빌라에 집주인이 고쳐둔것보다 학생들이 살면서 고쳐야 했던게 훨씬 많습니다..^^",,"동물 허락되고 인근 빌라들에 비해 싼건 맞지만, 딱 그뿐입니다. 싼값하는 집입니다. 전에는 집에 문제가 많고, 도어락도 없고 집주인이 마스터키를 가지고 있어서 불안했지만, 최근에는 도어락도 달고, 입주했던 학생들이 이것저것 내부를 많이 고쳐놔서 크게 하자될 문제는 없을겁니다. 학생들이 만든집이라 생각해도 무방하구요, 집주인이 돈에 많이 민감해서 얼굴붉히는 일이 한번은 있을테니 참고하시고 좋은 선택 하시길 바랍니다.
아참, TV없고, 와이파이 없고, 인터넷 개별신청입니다.",71,NULL,"2020-01-10 16:46:34","2020-01-10 16:46:34",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,t,shjnd0sbgqyw6vbvq5f3,...,image/jpeg,등록완료,35.852819,128.578820,"대구광역시 남구 계명7길 33",203호,NULL,NULL,대구광역시,남구,대명동,투/쓰리룸,2019,2019,지상층,f,NULL,t,NULL,"집 보러 갔을 때 한 눈에 반해서 계약한 집입니다. 갑자기 휴학을 하게되어 이 집을 떠나게 되어 아쉬울 따름이에요...","이 방은 미니 투룸입니다! 방이 하나있고 주방, 화장실, 세탁실, 작은 거실이 연결된 공간이 따로 있는 독특한 구조였어요. 원래 이 방에 월세로 나왔었는데 임대인과의 협의를 통해 반전세로 거주했었습니다. 혹시 반전세를 원하신다면 임대인분과 협의해보셔도 좋을 듯 합니다!",72,NULL,"2020-01-11 11:42:35","2020-01-15 02:57:03",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,t,xtrmj28gfdvn9z10f311,...,image/jpeg,임시저장,35.251877,128.906577,"경상남도 김해시 삼안로 295",가야하임201호,NULL,NULL,경상남도,김해시,삼방동,원룸,2019,2019,지상층,f,NULL,t,"집 바로 앞이 도로라 버스나 차가 다니는 소리가 시끄러우실수도 있어요
저는 적응되니 괜찮더라고요, ",NULL,NULL,32,NULL,"2020-01-12 07:11:16","2020-01-15 02:58:47",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,t,,,,등록완료,37.452823,126.705739,"인천광역시 남동구 구월남로 146",310호," (구월동)",구월파티마오피스텔,인천광역시,남동구,구월동,오피스텔,2016,2018,지상층,f,,t,"점심에 주변 음식점에서 풍겨오는 음식냄새가 엄청나요. 배고파집니다.
주변이 평지라서 외출할 때도 불편한 게 없었어요.","처음 자취했던 집이라 나름 애착이 있었어요. 엄청 작은 원룸이었는데도 굉장히 아늑했습니다.","제가 살았던 방은 반려동물을 키울 수 없었어요. 같은 층에 다른 집은 반려동물을 키우기도 하더라고요! 반려동물을 키우시는 분들은 꼭꼭 확인해보세요!
자취생 여러분 모두 화이팅입니다 :)",77,NULL,"2020-01-16 14:28:21","2020-01-16 14:42:43",f,완료,0,0,,NULL,"--- []
",-1,NULL,NULL,,,,NULL,NULL,NULL,NULL,f,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
